iter	MultiClass
0	0.65701801
1	0.6300611529
2	0.6044898804
3	0.5858726103
4	0.5709989051
5	0.5571603348
6	0.5437981399
7	0.5321445016
8	0.5234110036
9	0.5153706513
10	0.5072227616
11	0.4984794373
12	0.4925564011
13	0.486784026
14	0.4820853333
15	0.4775673122
16	0.473840705
17	0.4700595839
18	0.46780926
19	0.4637558108
20	0.4612638264
21	0.4586812851
22	0.4563166839
23	0.4519395418
24	0.4489824177
25	0.4471535053
26	0.4443900651
27	0.4422501766
28	0.4395009896
29	0.437529822
30	0.4348777061
31	0.4322279055
32	0.4286553175
33	0.426813102
34	0.4252452932
35	0.4230304462
36	0.4215389313
37	0.4202994796
38	0.4187804
39	0.4172113196
40	0.4158463525
41	0.414752904
42	0.4126931471
43	0.4110771882
44	0.4101585061
45	0.40891087
46	0.4074788932
47	0.4053589693
48	0.404112428
49	0.4024118137
50	0.4006505033
51	0.3989868826
52	0.3980054183
53	0.3968321402
54	0.3954334322
55	0.3939354324
56	0.3930391842
57	0.3912744499
58	0.3897711964
59	0.3881665015
60	0.3872756401
61	0.3859534629
62	0.3840791051
63	0.3830957493
64	0.3819683375
65	0.3800711733
66	0.3780800892
67	0.3755701179
68	0.3747670604
69	0.3734500358
70	0.372135277
71	0.3709550957
72	0.3697853139
73	0.3685746814
74	0.3670379515
75	0.3652910849
76	0.3645584277
77	0.3634059226
78	0.3619956058
79	0.3604809535
80	0.3593097661
81	0.3579717972
82	0.356577815
83	0.3553310921
84	0.3540813061
85	0.3525801296
86	0.350453566
87	0.3496549178
88	0.3482273316
89	0.3472544639
90	0.3463392308
91	0.3448479808
92	0.3438890201
93	0.3424042032
94	0.3412994422
95	0.3397766989
96	0.3384342765
97	0.3377161316
98	0.336840646
99	0.3353519527
100	0.3341158816
101	0.3326617197
102	0.3314141523
103	0.3301839015
104	0.3292557773
105	0.3282516304
106	0.3276214023
107	0.3264510384
108	0.3256225041
109	0.3248309305
110	0.3240740976
111	0.3235381824
112	0.322442969
113	0.3210321404
114	0.3198300974
115	0.3188484327
116	0.3167109344
117	0.3155140363
118	0.3143893599
119	0.3136032987
120	0.3126565312
121	0.3120589255
122	0.3113529276
123	0.3103134993
124	0.3091810431
125	0.3079338056
126	0.3068553715
127	0.3061971038
128	0.305344604
129	0.3047922532
130	0.3042430251
131	0.303484367
132	0.3025700579
133	0.301553493
134	0.3008755217
135	0.3002891439
136	0.2997223595
137	0.2991239948
138	0.2982405351
139	0.2976472311
140	0.297063854
141	0.2963902113
142	0.2957895861
143	0.295180446
144	0.2947441611
145	0.2942088634
146	0.29357278
147	0.2926233438
148	0.2920999823
149	0.2911189142
150	0.2900819636
151	0.2894568728
152	0.2888692627
153	0.288345126
154	0.2877412402
155	0.2870529272
156	0.2862603649
157	0.2856032871
158	0.2850913436
159	0.2845454996
160	0.2836233324
161	0.2831528374
162	0.2824224531
163	0.2816829158
164	0.2807627643
165	0.2802924047
166	0.2794968638
167	0.278974267
168	0.2782828265
169	0.2771789853
170	0.276680521
171	0.2762371134
172	0.275626059
173	0.275019115
174	0.2741746814
175	0.2734411759
176	0.2728683926
177	0.2724533561
178	0.2718403208
179	0.2711761544
180	0.2703224744
181	0.2693910263
182	0.2687638256
183	0.2681554902
184	0.2675093339
185	0.2668882977
186	0.266106417
187	0.2652919918
188	0.2643386556
189	0.2638470461
190	0.2632532797
191	0.262569466
192	0.262199392
193	0.2617408636
194	0.261294169
195	0.2607996331
196	0.2605072651
197	0.2601249555
198	0.2596928377
199	0.2589808838
200	0.2585685614
201	0.2578449797
